"Trade_Name
",Chemical,Manufacturer,Top_15_Brand_Corporation,Biologic_(by_Product),Biosimilar,NAS,Oncology,Rare_Disease_(FDA),Rare_Disease_(EMA),Rare_Disease_(FDA_or_EMA),HC-HTA_Aligned_Review,Health_Canada_Submission_Date,NOC_Date,Health_Canada_Review_Time,HTA_Agency,CADTH_Submission_Date,CADTH_Timing_of__Submission,CADTH_Submission_Type_-_Agency_Specific,CADTH_Indication,CADTH_Review_Status,CADTH_Final_Recommendation/Withdrawn_Date,CADTH_Recommended_-_Agency_Specific,CADTH_Decision_Type_-_Standardized,INESSS_Submission_Date,INESSS_Timing_of__Submission,INESSS_Submission_Type_-_Agency_Specific,INESSS_Indication,INESSS_Review_Status,INESSS_Final_Recommendation/Withdrawn_Date,INESSS_Recommended_-_Agency_Specific,INESSS_Decision_Type_-_Standardized,pCPA_Negotiation,pCPA_First_Date,pCPA_Final_Date,pCPA_Type,pCPA_Negotiation_Outcome,BC_Status,AB_Status,SK_Status,MB_Status,ON_Status,NB_Status,NS_Status,PEI_Status,NL_Status,QC_Status,Listing_BC_Date,Listing_AB_Date,Listing_SK_Date,Listing_MB_Date,Listing_ON_Date,Listing_NB_Date,Listing_NS_Date,Listing_PEI_Date,Listing_NL_Date,Listing_QC_Date,First_Prov_Listing_(excl_QC),First_Prov_Listing_(inc_QC),Rank_BC_Listing_Date,Rank_AB_Listing_Date,Rank_SK_Listing_Date,Rank_MB_Listing_Date,Rank_ON_Listing_Date,Rank_NB_Listing_Date,Rank_NS_Listing_Date,Rank_PEI_Listing_Date,Rank_NL_Listing_Date,Rank_QC_Listing_Date,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10,Total_population_coverage_(incl_QC),Date_>_50%_Cumulative_Ranking,Date_>_80%_Cumulative_Ranking,NOC_to_CADTH_Submission,NOC_to_INESSS_Submission,CADTH_Duration,INESSS_Duration,CADTH_to_pCPA_Initiation,INESSS_to_pCPA_Initiation,pCPA_LOI_to_LOE,pCPA_to_Listing_BC_Date,pCPA_to_Listing_AB_Date,pCPA_to_Listing_SK_Date,pCPA_to_Listing_MB_Date,pCPA_to_Listing_ON_Date,pCPA_to_Listing_NB_Date,pCPA_to_Listing_NS_Date,pCPA_to_Listing_PEI_Date,pCPA_to_Listing_NL_Date,pCPA_to_Listing_QC_Date,pCPA_to_Listing_Nat_Avg_(excl_QC),pCPA_Completion_to_1st_Listing_(excl_QC),pCPA_to_Listing_Nat_Avg_(incl_QC),pCPA_Completion_to_1st_Listing_(incl_QC),pCPA_Completion_to_80%_Listing,NOC_to_Listing_BC_Date,NOC_to_Listing_AB_Date,NOC_to_Listing_SK_Date,NOC_to_Listing_MB_Date,NOC_to_Listing_ON_Date,NOC_to_Listing_NB_Date,NOC_to_Listing_NS_Date,NOC_to_Listing_PEI_Date,NOC_to_Listing_NL_Date,NOC_to_Listing_QC_Date,NOC_to_Listing_Nat_Avg_(excl_QC),NOC_to_Listing_Nat_Avg_(inc_QC),"NOC_to_1st_Provincial_Listing
(unique_at_product/indication_level)_exc_QC","CADTH_Submission_to_1st_Provincial_Listing
exc_QC",CADTH_Recommendation_to_1st_Provincial_Listing_exc_QC,HTA_Rec_to_BC_Listing_Date,HTA_Rec_to_AB_Listing_Date,HTA_Rec_to_SK_Listing_Date,HTA_Rec_to_MB_Listing_Date,HTA_Rec_to_ON_Listing_Date,HTA_Rec_to_NB_Listing_Date,HTA_Rec_to_NS_Listing_Date,HTA_Rec_to_PEI_Listing_Date,HTA_Rec_to_NL_Listing_Date,HTA_Rec_to_QC_Listing_Date,Nat`l_Avg_(excl_QC),NOC_to_CADTH_Rec,NOC_to_INESSS_Rec,CADTH_Rec_to_pCPA_Decision,INESSS_Rec_to_pCPA_Decision,NOC_to_80%_Listing,First_Provincial_Listing_to_80%_Listing_(incl_QC),First_Provincial_Listing_to_80%_Listing_(excl_QC),First_Provincial_Listing_to_50%_Listing_(incl_QC),50%_Listing_to_80%_Listing,HC_Sub_to_CADTH_Rec
Abecma,idecabtagene vicleucel,Celgene,Y,N,N,Y,Y,Y,Y,Y,N,01-Oct-20,26-May-21,237,CADTH & INESSS,16-Dec-20,pre-NOC,Initial,"For the treatment of adult patients with multiple myeloma who have received at least three prior therapies, including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 antibody",Completed,12-Nov-21,Do not fund,Negative,19-Feb-21,pre-NOC,New Drug,"For the treatment of adult patients with multiple myeloma who have received at least three prior therapies, including an immunomodulatory agent, a proteasome inhibitor, and an anti-CD38 antibody",Completed,01-Sep-21,Avis de refus ,Negative,None,,,Under consideration for negotiation,n/a,,,,,,,,,,UR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,,,-161,-96,331,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,98,,,,,,,,407
Abilify (MDD),aripiprazole,Bristol-Myers Squibb ,Y,N,N,N,N,N,N,N,N,,29-May-13,,CADTH,01-Oct-13,post-NOC,Initial,"Depression, Major Depressive Disorder (MDD)",Completed,22-Oct-14,Do not list ,Negative,,,,,,,,,none,02-Dec-14,,Do Not Negotiate,n/a,NR,FB/RB,NR,FB,NR,FB,FB,NR,NR,NR,,01-Jan-12,,24-May-12,,18-Jun-20,01-Aug-21,,,,01-Jan-12,01-Jan-12,,1,,2,,3,4,,,,4.50%,10.00%,10.90%,12.20%,,,,,,,12.20%,,,125,,386,,41,,,,,,,,,,,,,,,,,,,-514,,-370,,2577,2986,,,,1170,1170,-514,-639,-1025,,-1025,,-881,,2066,2475,,,,659,511,,,,,,,,,41934
Abilify Maintena,aripiprazole,Otsuka Pharmaceutical & Lundbeck,N,N,N,N,N,N,N,N,N,,10-Feb-14,,CADTH & INESSS,06-Jan-14,pre-NOC,Initial,Schizophrenia,Completed,19-Dec-14,List with criteria/condition,Conditional,22-Mar-14,post-NOC,New Drug,Schizophrenia,Completed,01-Oct-14,Ajout aux listes de médicaments - Médicament d'exception,Conditional,1st,29-Jan-15,14-Jun-15,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,FB,FB,FB,SA,SA,FB,11-Aug-15,01-Sep-15,01-Jul-15,22-Oct-15,29-Jul-15,14-Oct-15,01-Sep-15,25-Apr-16,01-Aug-15,01-Oct-14,01-Jul-15,01-Oct-14,5,6,2,9,3,8,7,10,4,1,28.60%,34.30%,66.50%,67.20%,87.50%,91.90%,93.20%,94.10%,99.60%,100.00%,100.00%,29-Jul-15,11-Aug-15,-35,40,347,193,41,120,136,58,79,17,130,45,122,79,316,48,-256,99,17,64,-256,58,547,568,506,619,534,611,568,805,537,233,588,553,506,541,194,235,256,194,307,222,299,256,493,225,0,276,312,233,177,256,547,314,41,301,13,41992
Abraxane,nab paclitaxel,Celgene ,N,N,N,N,Y,Y,N,Y,N,,16-Jul-14,,CADTH & INESSS,14-Feb-14,pre-NOC,New indication,GI: Metastatic Pancreatic Cancer,Completed,23-Sep-14,Cond'l on Cost,Conditional,04-Aug-14,post-NOC,New Indication,Metastatic Pancreatic Cancer,Completed,02-Feb-15,Ajout d’une indication reconnue à la Liste Établissements – Médicament d’exception – Avis de refus – À moins que le rapport entre le coût et l’efficacité soit modifié pour atteindre un niveau acceptable,Conditional,1st,29-Oct-14,02-Mar-15,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,EM,01-Nov-14,30-Mar-15,01-May-15,20-Apr-15,17-Apr-15,15-Jul-15,01-Apr-15,01-Aug-18,01-Sep-15,20-Nov-15,01-Nov-14,01-Nov-14,1,2,6,5,4,7,3,10,8,9,20.30%,24.70%,26.00%,58.30%,63.80%,69.50%,70.40%,71.10%,99.60%,100.00%,100.00%,17-Apr-15,20-Nov-15,-152,19,221,182,36,-96,124,-121,28,60,49,46,135,30,1248,183,263,184,-121,192,-121,263,108,257,289,278,275,364,259,1477,412,492,413,421,108,260,39,39,188,220,209,206,295,190,1408,343,291,344,69,201,160,28,492,384,384,167,217,41905
Actemra ,tocilizumab,Hoffmann-La Roche Ltd.,Y,Y,N,N,N,N,N,N,N,01-May-17,27-Oct-17,179,CADTH & INESSS,25-Sep-17,pre-NOC,Initial,Giant cell arteritis (GCA),Completed,27-Mar-18,Reimburse with clinical criteria and/or conditions,Conditional,,,New Indication,Arteritis,Completed,06-Jun-18,Avis de refus d'ajout d'une indication reconnue aux listes des médicaments - Médicament d'exception - À moins que certaines conditions soient respectées,Conditional,1st,26-Jul-18,06-Dec-18,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,EAP,SA,NR,SA,SA,EM,12-Mar-19,01-Mar-19,01-May-19,31-May-19,17-Apr-19,22-Oct-20,,28-Feb-22,15-Jun-20,02-Oct-19,01-Mar-19,01-Mar-19,2,1,4,5,3,8,,9,7,6,4.50%,24.70%,56.90%,62.70%,68.20%,96.80%,97.40%,98.30%,98.70%,,98.70%,17-Apr-19,02-Oct-19,-32,,183,,121,50,133,96,85,146,176,132,686,,1180,557,300,382,85,373,85,300,501,490,551,581,537,1091,,1585,962,705,787,778,490,522,339,350,339,400,430,386,940,,1434,811,483,636,151,222,254,183,705,215,215,47,168,330
Actemra (JIA),tocilizumab,Hoffmann-La Roche Ltd.,Y,Y,N,N,N,Y,N,Y,N,,19-Jan-12,,CADTH & INESSS,30-Jan-12,post-NOC,Initial,"Arthritis, juvenile idiopathic ",Completed,19-Jul-12,List with clinical criteria and/or conditions,Conditional,,,New Indication,JIA,Completed,01-Oct-12,Ajout d'une indication reconnue par l'INESSS - Médicament d'exception,Conditional,none,,,,,SA,SA,EDS,EDS,EAP,SA,EDS,SA,SA,EM,11-Apr-13,01-Nov-12,01-Jan-13,17-Jul-13,,14-Feb-13,01-Feb-13,01-Oct-13,01-Jul-16,01-Oct-12,01-Nov-12,01-Oct-12,6,2,3,7,,5,4,8,9,1,28.60%,33.00%,38.80%,40.10%,41.00%,61.20%,66.70%,67.10%,67.80%,,67.80%,11-Apr-13,,11,,171,,,,,,,,,,,,,,,,,,,,448,287,348,545,,392,379,621,1625,256,581,545,287,276,105,266,105,166,363,,210,197,439,1443,0,399,182,256,,,,,,192,,41109
Actemra (pJIA),tocilizumab,Hoffmann-La Roche Ltd.,Y,Y,N,N,N,Y,N,Y,N,,17-Oct-13,,CADTH & INESSS,29-Jul-13,pre-NOC,Initial,Polyarticular juvenile idiopathic arthritis,Completed,19-Mar-14,List with criteria/condition,Conditional,04-Aug-14,post-NOC,New Indication,pJIA,Completed,02-Feb-15,Ajout d'une indication reconnue - Médicament d'exception,Conditional,none,31-May-14,,Negotiation by Province,n/a,SA,SA,EDS,EDS,EAP,SA,EDS,SA,SA,EM,09-Dec-14,01-May-15,01-Nov-14,19-Jan-15,09-Apr-14,12-Apr-16,01-Jun-16,25-Apr-16,01-Jul-16,02-Feb-15,09-Apr-14,09-Apr-14,3,6,2,4,1,7,9,8,10,5,32.20%,38.00%,58.20%,63.70%,92.30%,96.80%,97.70%,98.00%,99.30%,100.00%,100.00%,09-Dec-14,02-Feb-15,-80,291,233,182,73,-247,,,,,,,,,,,,,,,,,418,561,380,459,174,908,958,921,988,473,641,624,174,254,21,265,408,227,306,21,755,805,768,835,0,488,153,473,,,473,299,299,244,55,41717
Actemra SC (RA),tocilizumab,Hoffmann-La Roche Ltd.,Y,Y,N,N,N,N,N,N,N,,06-May-14,,CADTH & INESSS,03-Mar-14,pre-NOC,Initial,"Arthritis, Rheumatoid",Completed,19-Feb-15,List with criteria/condition,Conditional,04-Aug-14,post-NOC,New Form,"Arthritis, Rheumatoid",Completed,02-Feb-15,Avis de refus,Negative,1st,01-May-15,16-Dec-15,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,EAP,SA,EDS,SA,SA,EM,19-Feb-16,01-Mar-16,01-May-16,18-Apr-16,,12-Apr-16,01-Jun-16,25-Apr-16,01-Jul-16,15-Jun-16,19-Feb-16,19-Feb-16,1,2,6,4,,3,7,5,9,8,20.30%,24.70%,25.60%,31.10%,31.50%,37.20%,38.50%,67.10%,67.80%,,67.80%,15-Jun-16,,-64,90,353,182,71,88,229,65,76,137,124,,118,168,131,198,182,127,65,133,65,,654,665,726,713,,707,757,720,787,771,716,722,654,718,365,365,376,437,424,,418,468,431,498,499,427,289,272,300,317,,,,117,,42054
Actikerall,fluorouracil and Salicylic Acid,Cipher Pharmaceuticals ,N,N,N,N,N,N,N,N,N,,28-Aug-15,,CADTH,31-Aug-16,post-NOC,Initial,Hyperkeratotic actinic keratosis,Completed,22-Mar-17,Reimburse with clinical criteria and/or conditions,Conditional,,,,,,,,,1st,23-Feb-18,22-Aug-18,Negotiation,Completed with Agreements,NR,FB,FB,FB,FB,FB,FB,FB,SA,NR,,01-Dec-18,01-Jan-19,24-Jan-19,31-Oct-18,08-Nov-18,01-Apr-19,24-Dec-18,20-Dec-18,,31-Oct-18,31-Oct-18,,3,6,7,1,2,8,5,4,,32.20%,33.10%,37.60%,38.30%,38.60%,44.30%,49.90%,51.20%,,,51.20%,01-Apr-19,,369,,203,,338,,180,,101,132,155,70,78,222,124,120,,125,70,125,70,,,1191,1222,1245,1160,1168,1312,1214,1210,,1215,1215,1160,791,588,,619,650,673,588,596,740,642,638,,643,572,,518,,,,,152,,42816
Adcetris,brentuximab vedotin,Seattle Genetics,N,Y,N,Y,Y,Y,Y,Y,N,,01-Feb-13,,CADTH & INESSS,14-Mar-13,post-NOC,New drug,Hodgkin Lymphoma (HL):For HL patients after failure of ASCT or after failure of at least two prior therapies in patients who are not ASCT candidates,Completed,29-Aug-13,Cond'l on Cost,Conditional,01-Oct-13,post-NOC,New Drug,Hodgkin Lymphoma (HL):For HL patients after failure of ASCT or after failure of at least two prior therapies in patients who are not ASCT candidates,Completed,02-Jun-14,Ajout d’une indication reconnue à la Liste Établissements – Médicament d’exception – Avec l’instauration d’un suivi clinique,Conditional,1st,,31-Jan-14,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,EM,01-Jun-14,01-May-14,04-Feb-14,01-Mar-14,19-Feb-14,01-Oct-14,01-Jan-15,,25-Jun-18,02-Jun-14,04-Feb-14,04-Feb-14,5,4,1,3,2,7,8,,9,6,5.70%,38.00%,43.50%,47.90%,68.20%,96.80%,97.70%,99.00%,99.60%,,99.60%,01-Jun-14,02-Jun-14,41,242,168,244,,,,121,90,4,29,19,243,335,,1606,122,306,4,285,4,122,485,454,368,393,383,607,699,,1970,486,670,649,368,327,159,276,245,159,184,174,398,490,,1761,0,461,209,486,155,-122,486,118,118,117,1,41515
