,BC,AB,SK,MB,ON,NB,NS,PEI,NL,QC
1993.0,,,,,,,,,,
2006.0,,,,,,,,,,
2007.0,,,,,,,,,,
2008.0,,,,,,,,,,-3183.0
2009.0,,,,,,,,,,
2012.0,,,,,,,,,,
2013.0,36.5,-97.5,-39.5,-328.0,-99.5,107.0,-205.0,,-394.0,-263.0
2014.0,0.7272727272727273,78.28571428571429,56.0,59.714285714285715,34.0,136.58333333333334,249.42857142857142,,98.14285714285714,-275.0769230769231
2015.0,73.6923076923077,92.63157894736842,79.16666666666667,65.28571428571429,31.38095238095238,122.58823529411765,133.69230769230768,271.75,140.14285714285714,-135.5
2016.0,129.0,115.18518518518519,85.21428571428571,117.48275862068965,78.21875,145.5151515151515,184.0,218.85714285714286,149.25,221.95
2017.0,183.9,193.09375,82.97222222222223,117.51351351351352,81.6875,151.83870967741936,210.0909090909091,168.3846153846154,174.8709677419355,117.1875
2018.0,261.39473684210526,173.65116279069767,112.8,117.84375,91.8,168.15384615384616,301.94736842105266,827.8055555555555,349.05882352941177,108.44186046511628
2019.0,165.4848484848485,123.58536585365853,124.14634146341463,151.45945945945945,131.79591836734693,187.52083333333334,285.42105263157896,355.0833333333333,275.27777777777777,93.30188679245283
2020.0,246.0,174.3783783783784,157.29268292682926,193.0392156862745,159.57142857142858,207.41304347826087,365.5869565217391,1240.5714285714287,330.0,117.875
2021.0,255.42424242424244,128.59375,164.6,216.09375,131.52272727272728,155.14814814814815,294.7037037037037,705.8529411764706,472.25,112.4390243902439
2022.0,175.07843137254903,293.5272727272727,95.06818181818181,188.30434782608697,165.59183673469389,199.57894736842104,353.85714285714283,705.5,342.0,44.0
2023.0,105.0,222.16666666666666,101.4,246.5,212.22222222222223,140.33333333333334,190.9,763.1666666666666,355.0,43.5
