,BC,AB,SK,MB,ON,NB,NS,PEI,NL,QC
1993.0,,0.0,,,,,,,,
2006.0,,,,,,,,,,0.0
2007.0,,,,,0.0,,,,,
2008.0,,,,,,,,,,1.0
2009.0,,,,,,0.0,,0.0,,
2012.0,,0.0,,0.0,,,,,,0.0
2013.0,2.0,4.0,4.0,1.0,6.0,1.0,1.0,0.0,1.0,4.0
2014.0,11.0,7.0,8.0,14.0,8.0,12.0,7.0,,7.0,13.0
2015.0,13.0,19.0,24.0,14.0,21.0,17.0,13.0,8.0,21.0,16.0
2016.0,21.0,27.0,28.0,29.0,32.0,33.0,38.0,21.0,20.0,20.0
2017.0,30.0,32.0,36.0,37.0,32.0,31.0,22.0,13.0,31.0,32.0
2018.0,38.0,43.0,35.0,32.0,40.0,39.0,19.0,36.0,34.0,43.0
2019.0,33.0,41.0,41.0,37.0,49.0,48.0,57.0,24.0,36.0,53.0
2020.0,35.0,37.0,41.0,51.0,35.0,46.0,46.0,7.0,30.0,32.0
2021.0,33.0,32.0,40.0,32.0,44.0,27.0,27.0,34.0,28.0,41.0
2022.0,51.0,55.0,44.0,46.0,49.0,38.0,42.0,46.0,36.0,38.0
2023.0,2.0,6.0,5.0,14.0,9.0,3.0,10.0,24.0,14.0,2.0
