,"Trade_Name
",Chemical,Manufacturer,Top_15_Brand_Corporation,Biologic_(by_Product),Biosimilar,NAS,Oncology,Rare_Disease_(FDA),Rare_Disease_(EMA),Rare_Disease_(FDA_or_EMA),HC-HTA_Aligned_Review,Health_Canada_Submission_Date,NOC_Date,Health_Canada_Review_Time,HTA_Agency,CADTH_Submission_Date,CADTH_Timing_of__Submission,CADTH_Submission_Type_-_Agency_Specific,CADTH_Indication,CADTH_Review_Status,CADTH_Final_Recommendation/Withdrawn_Date,CADTH_Recommended_-_Agency_Specific,CADTH_Decision_Type_-_Standardized,INESSS_Submission_Date,INESSS_Timing_of__Submission,INESSS_Submission_Type_-_Agency_Specific,INESSS_Indication,INESSS_Review_Status,INESSS_Final_Recommendation/Withdrawn_Date,INESSS_Recommended_-_Agency_Specific,INESSS_Decision_Type_-_Standardized,pCPA_Negotiation,pCPA_First_Date,pCPA_Final_Date,pCPA_Type,pCPA_Negotiation_Outcome,BC_Status,AB_Status,SK_Status,MB_Status,ON_Status,NB_Status,NS_Status,PEI_Status,NL_Status,QC_Status,Listing_BC_Date,Listing_AB_Date,Listing_SK_Date,Listing_MB_Date,Listing_ON_Date,Listing_NB_Date,Listing_NS_Date,Listing_PEI_Date,Listing_NL_Date,Listing_QC_Date,First_Prov_Listing_(excl_QC),First_Prov_Listing_(inc_QC),Rank_BC_Listing_Date,Rank_AB_Listing_Date,Rank_SK_Listing_Date,Rank_MB_Listing_Date,Rank_ON_Listing_Date,Rank_NB_Listing_Date,Rank_NS_Listing_Date,Rank_PEI_Listing_Date,Rank_NL_Listing_Date,Rank_QC_Listing_Date,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10,Total_population_coverage_(incl_QC),Date_>_50%_Cumulative_Ranking,Date_>_80%_Cumulative_Ranking,NOC_to_CADTH_Submission,NOC_to_INESSS_Submission,CADTH_Duration,INESSS_Duration,CADTH_to_pCPA_Initiation,INESSS_to_pCPA_Initiation,pCPA_LOI_to_LOE,pCPA_to_Listing_BC_Date,pCPA_to_Listing_AB_Date,pCPA_to_Listing_SK_Date,pCPA_to_Listing_MB_Date,pCPA_to_Listing_ON_Date,pCPA_to_Listing_NB_Date,pCPA_to_Listing_NS_Date,pCPA_to_Listing_PEI_Date,pCPA_to_Listing_NL_Date,pCPA_to_Listing_QC_Date,pCPA_to_Listing_Nat_Avg_(excl_QC),pCPA_Completion_to_1st_Listing_(excl_QC),pCPA_to_Listing_Nat_Avg_(incl_QC),pCPA_Completion_to_1st_Listing_(incl_QC),pCPA_Completion_to_80%_Listing,NOC_to_Listing_BC_Date,NOC_to_Listing_AB_Date,NOC_to_Listing_SK_Date,NOC_to_Listing_MB_Date,NOC_to_Listing_ON_Date,NOC_to_Listing_NB_Date,NOC_to_Listing_NS_Date,NOC_to_Listing_PEI_Date,NOC_to_Listing_NL_Date,NOC_to_Listing_QC_Date,NOC_to_Listing_Nat_Avg_(excl_QC),NOC_to_Listing_Nat_Avg_(inc_QC),"NOC_to_1st_Provincial_Listing
(unique_at_product/indication_level)_exc_QC","CADTH_Submission_to_1st_Provincial_Listing
exc_QC",CADTH_Recommendation_to_1st_Provincial_Listing_exc_QC,HTA_Rec_to_BC_Listing_Date,HTA_Rec_to_AB_Listing_Date,HTA_Rec_to_SK_Listing_Date,HTA_Rec_to_MB_Listing_Date,HTA_Rec_to_ON_Listing_Date,HTA_Rec_to_NB_Listing_Date,HTA_Rec_to_NS_Listing_Date,HTA_Rec_to_PEI_Listing_Date,HTA_Rec_to_NL_Listing_Date,HTA_Rec_to_QC_Listing_Date,Nat`l_Avg_(excl_QC),NOC_to_CADTH_Rec,NOC_to_INESSS_Rec,CADTH_Rec_to_pCPA_Decision,INESSS_Rec_to_pCPA_Decision,NOC_to_80%_Listing,First_Provincial_Listing_to_80%_Listing_(incl_QC),First_Provincial_Listing_to_80%_Listing_(excl_QC),First_Provincial_Listing_to_50%_Listing_(incl_QC),50%_Listing_to_80%_Listing,HC_Sub_to_CADTH_Rec
1,Abilify (MDD),aripiprazole,Bristol-Myers Squibb ,Y,N,N,N,N,N,N,N,N,,29-May-13,,CADTH,01-Oct-13,post-NOC,Initial,"Depression, Major Depressive Disorder (MDD)",Completed,22-Oct-14,Do not list ,Negative,,,,,,,,,none,02-Dec-14,,Do Not Negotiate,,NR,FB/RB,NR,FB,NR,FB,FB,NR,NR,NR,,2012-01-01,,2012-05-24,,2020-06-18,2021-08-01,,,,01-Jan-12,2012-01-01,,1.0,,2.0,,3.0,4.0,,,,4.50%,10.00%,10.90%,12.20%,,,,,,,12.20%,,,125.0,,386.0,,41.0,,,,,,,,,,,,,,,,,,,-514.0,,-370.0,,2577.0,2986.0,,,,1170.0,1170.0,-514.0,-639.0,-1025.0,,-1025.0,,-881.0,,2066.0,2475.0,,,,659.0,511.0,,,,,,,,,41934
2,Abilify Maintena,aripiprazole,Otsuka Pharmaceutical & Lundbeck,N,N,N,N,N,N,N,N,N,,10-Feb-14,,CADTH & INESSS,06-Jan-14,pre-NOC,Initial,Schizophrenia,Completed,19-Dec-14,List with criteria/condition,Conditional,22-Mar-14,post-NOC,New Drug,Schizophrenia,Completed,01-Oct-14,Ajout aux listes de médicaments - Médicament d'exception,Conditional,1st,29-Jan-15,14-Jun-15,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,FB,FB,FB,SA,SA,FB,2015-08-11,2015-09-01,2015-07-01,2015-10-22,2015-07-29,2015-10-14,2015-09-01,2016-04-25,2015-08-01,2014-10-01,01-Jul-15,2014-10-01,5.0,6.0,2.0,9.0,3.0,8.0,7.0,10.0,4.0,1.0,28.60%,34.30%,66.50%,67.20%,87.50%,91.90%,93.20%,94.10%,99.60%,100.00%,100.00%,29-Jul-15,11-Aug-15,-35.0,40.0,347.0,193.0,41.0,120.0,136.0,58.0,79.0,17.0,130.0,45.0,122.0,79.0,316.0,48.0,-256.0,99.0,17.0,64.0,-256.0,58.0,547.0,568.0,506.0,619.0,534.0,611.0,568.0,805.0,537.0,233.0,588.0,553.0,506.0,541.0,194.0,235.0,256.0,194.0,307.0,222.0,299.0,256.0,493.0,225.0,0.0,276.0,312.0,233.0,177.0,256.0,547.0,314.0,41.0,301.0,13.0,41992
3,Abraxane,nab paclitaxel,Celgene ,N,N,N,N,Y,Y,N,Y,N,,16-Jul-14,,CADTH & INESSS,14-Feb-14,pre-NOC,New indication,GI: Metastatic Pancreatic Cancer,Completed,23-Sep-14,Cond'l on Cost,Conditional,04-Aug-14,post-NOC,New Indication,Metastatic Pancreatic Cancer,Completed,02-Feb-15,Ajout dune indication reconnue à la Liste Établissements  Médicament dexception  Avis de refus  À moins que le rapport entre le coût et lefficacité soit modifié pour atteindre un niveau acceptable,Conditional,1st,29-Oct-14,02-Mar-15,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,EM,2014-11-01,2015-03-30,2015-05-01,2015-04-20,2015-04-17,2015-07-15,2015-04-01,2018-08-01,2015-09-01,2015-11-20,01-Nov-14,2014-11-01,1.0,2.0,6.0,5.0,4.0,7.0,3.0,10.0,8.0,9.0,20.30%,24.70%,26.00%,58.30%,63.80%,69.50%,70.40%,71.10%,99.60%,100.00%,100.00%,17-Apr-15,20-Nov-15,-152.0,19.0,221.0,182.0,36.0,-96.0,124.0,-121.0,28.0,60.0,49.0,46.0,135.0,30.0,1248.0,183.0,263.0,184.0,-121.0,192.0,-121.0,263.0,108.0,257.0,289.0,278.0,275.0,364.0,259.0,1477.0,412.0,492.0,413.0,421.0,108.0,260.0,39.0,39.0,188.0,220.0,209.0,206.0,295.0,190.0,1408.0,343.0,291.0,344.0,69.0,201.0,160.0,28.0,492.0,384.0,384.0,167.0,217.0,41905
4,Actemra ,tocilizumab,Hoffmann-La Roche Ltd.,Y,Y,N,N,N,N,N,N,N,01-May-17,27-Oct-17,179.0,CADTH & INESSS,25-Sep-17,pre-NOC,Initial,Giant cell arteritis (GCA),Completed,27-Mar-18,Reimburse with clinical criteria and/or conditions,Conditional,,,New Indication,Arteritis,Completed,06-Jun-18,Avis de refus d'ajout d'une indication reconnue aux listes des médicaments - Médicament d'exception - À moins que certaines conditions soient respectées,Conditional,1st,26-Jul-18,06-Dec-18,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,EAP,SA,NR,SA,SA,EM,2019-03-12,2019-03-01,2019-05-01,2019-05-31,2019-04-17,2020-10-22,,2022-02-28,2020-06-15,2019-10-02,01-Mar-19,2019-03-01,2.0,1.0,4.0,5.0,3.0,8.0,,9.0,7.0,6.0,4.50%,24.70%,56.90%,62.70%,68.20%,96.80%,97.40%,98.30%,98.70%,,98.70%,17-Apr-19,02-Oct-19,-32.0,,183.0,,121.0,50.0,133.0,96.0,85.0,146.0,176.0,132.0,686.0,,1180.0,557.0,300.0,382.0,85.0,373.0,85.0,300.0,501.0,490.0,551.0,581.0,537.0,1091.0,,1585.0,962.0,705.0,787.0,778.0,490.0,522.0,339.0,350.0,339.0,400.0,430.0,386.0,940.0,,1434.0,811.0,483.0,636.0,151.0,222.0,254.0,183.0,705.0,215.0,215.0,47.0,168.0,330
5,Actemra (JIA),tocilizumab,Hoffmann-La Roche Ltd.,Y,Y,N,N,N,Y,N,Y,N,,19-Jan-12,,CADTH & INESSS,30-Jan-12,post-NOC,Initial,"Arthritis, juvenile idiopathic ",Completed,19-Jul-12,List with clinical criteria and/or conditions,Conditional,,,New Indication,JIA,Completed,01-Oct-12,Ajout d'une indication reconnue par l'INESSS - Médicament d'exception,Conditional,none,,,,,SA,SA,EDS,EDS,EAP,SA,EDS,SA,SA,EM,2013-04-11,2012-11-01,2013-01-01,2013-07-17,,2013-02-14,2013-02-01,2013-10-01,2016-07-01,2012-10-01,01-Nov-12,2012-10-01,6.0,2.0,3.0,7.0,,5.0,4.0,8.0,9.0,1.0,28.60%,33.00%,38.80%,40.10%,41.00%,61.20%,66.70%,67.10%,67.80%,,67.80%,11-Apr-13,,11.0,,171.0,,,,,,,,,,,,,,,,,,,,448.0,287.0,348.0,545.0,,392.0,379.0,621.0,1625.0,256.0,581.0,545.0,287.0,276.0,105.0,266.0,105.0,166.0,363.0,,210.0,197.0,439.0,1443.0,0.0,399.0,182.0,256.0,,,,,,192.0,,41109
6,Actemra (pJIA),tocilizumab,Hoffmann-La Roche Ltd.,Y,Y,N,N,N,Y,N,Y,N,,17-Oct-13,,CADTH & INESSS,29-Jul-13,pre-NOC,Initial,Polyarticular juvenile idiopathic arthritis,Completed,19-Mar-14,List with criteria/condition,Conditional,04-Aug-14,post-NOC,New Indication,pJIA,Completed,02-Feb-15,Ajout d'une indication reconnue - Médicament d'exception,Conditional,none,31-May-14,,Negotiation by Province,,SA,SA,EDS,EDS,EAP,SA,EDS,SA,SA,EM,2014-12-09,2015-05-01,2014-11-01,2015-01-19,2014-04-09,2016-04-12,2016-06-01,2016-04-25,2016-07-01,2015-02-02,09-Apr-14,2014-04-09,3.0,6.0,2.0,4.0,1.0,7.0,9.0,8.0,10.0,5.0,32.20%,38.00%,58.20%,63.70%,92.30%,96.80%,97.70%,98.00%,99.30%,100.00%,100.00%,09-Dec-14,02-Feb-15,-80.0,291.0,233.0,182.0,73.0,-247.0,,,,,,,,,,,,,,,,,418.0,561.0,380.0,459.0,174.0,908.0,958.0,921.0,988.0,473.0,641.0,624.0,174.0,254.0,21.0,265.0,408.0,227.0,306.0,21.0,755.0,805.0,768.0,835.0,0.0,488.0,153.0,473.0,,,473.0,299.0,299.0,244.0,55.0,41717
7,Actemra SC (RA),tocilizumab,Hoffmann-La Roche Ltd.,Y,Y,N,N,N,N,N,N,N,,06-May-14,,CADTH & INESSS,03-Mar-14,pre-NOC,Initial,"Arthritis, Rheumatoid",Completed,19-Feb-15,List with criteria/condition,Conditional,04-Aug-14,post-NOC,New Form,"Arthritis, Rheumatoid",Completed,02-Feb-15,Avis de refus,Negative,1st,01-May-15,16-Dec-15,Negotiation,Completed with Agreements,SA,SA,EDS,EDS,EAP,SA,EDS,SA,SA,EM,2016-02-19,2016-03-01,2016-05-01,2016-04-18,,2016-04-12,2016-06-01,2016-04-25,2016-07-01,2016-06-15,19-Feb-16,2016-02-19,1.0,2.0,6.0,4.0,,3.0,7.0,5.0,9.0,8.0,20.30%,24.70%,25.60%,31.10%,31.50%,37.20%,38.50%,67.10%,67.80%,,67.80%,15-Jun-16,,-64.0,90.0,353.0,182.0,71.0,88.0,229.0,65.0,76.0,137.0,124.0,,118.0,168.0,131.0,198.0,182.0,127.0,65.0,133.0,65.0,,654.0,665.0,726.0,713.0,,707.0,757.0,720.0,787.0,771.0,716.0,722.0,654.0,718.0,365.0,365.0,376.0,437.0,424.0,,418.0,468.0,431.0,498.0,499.0,427.0,289.0,272.0,300.0,317.0,,,,117.0,,42054
8,Actikerall,fluorouracil and Salicylic Acid,Cipher Pharmaceuticals ,N,N,N,N,N,N,N,N,N,,28-Aug-15,,CADTH,31-Aug-16,post-NOC,Initial,Hyperkeratotic actinic keratosis,Completed,22-Mar-17,Reimburse with clinical criteria and/or conditions,Conditional,,,,,,,,,1st,23-Feb-18,22-Aug-18,Negotiation,Completed with Agreements,NR,FB,FB,FB,FB,FB,FB,FB,SA,NR,,2018-12-01,2019-01-01,2019-01-24,2018-10-31,2018-11-08,2019-04-01,2018-12-24,2018-12-20,,31-Oct-18,2018-10-31,,3.0,6.0,7.0,1.0,2.0,8.0,5.0,4.0,,32.20%,33.10%,37.60%,38.30%,38.60%,44.30%,49.90%,51.20%,,,51.20%,01-Apr-19,,369.0,,203.0,,338.0,,180.0,,101.0,132.0,155.0,70.0,78.0,222.0,124.0,120.0,,125.0,70.0,125.0,70.0,,,1191.0,1222.0,1245.0,1160.0,1168.0,1312.0,1214.0,1210.0,,1215.0,1215.0,1160.0,791.0,588.0,,619.0,650.0,673.0,588.0,596.0,740.0,642.0,638.0,,643.0,572.0,,518.0,,,,,152.0,,42816
9,Adcetris,brentuximab vedotin,Seattle Genetics,N,Y,N,Y,Y,Y,Y,Y,N,,01-Feb-13,,CADTH & INESSS,14-Mar-13,post-NOC,New drug,Hodgkin Lymphoma (HL):For HL patients after failure of ASCT or after failure of at least two prior therapies in patients who are not ASCT candidates,Completed,29-Aug-13,Cond'l on Cost,Conditional,01-Oct-13,post-NOC,New Drug,Hodgkin Lymphoma (HL):For HL patients after failure of ASCT or after failure of at least two prior therapies in patients who are not ASCT candidates,Completed,02-Jun-14,Ajout dune indication reconnue à la Liste Établissements  Médicament dexception  Avec linstauration dun suivi clinique,Conditional,1st,,31-Jan-14,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,EM,2014-06-01,2014-05-01,2014-02-04,2014-03-01,2014-02-19,2014-10-01,2015-01-01,,2018-06-25,2014-06-02,04-Feb-14,2014-02-04,5.0,4.0,1.0,3.0,2.0,7.0,8.0,,9.0,6.0,5.70%,38.00%,43.50%,47.90%,68.20%,96.80%,97.70%,99.00%,99.60%,,99.60%,01-Jun-14,02-Jun-14,41.0,242.0,168.0,244.0,,,,121.0,90.0,4.0,29.0,19.0,243.0,335.0,,1606.0,122.0,306.0,4.0,285.0,4.0,122.0,485.0,454.0,368.0,393.0,383.0,607.0,699.0,,1970.0,486.0,670.0,649.0,368.0,327.0,159.0,276.0,245.0,159.0,184.0,174.0,398.0,490.0,,1761.0,0.0,461.0,209.0,486.0,155.0,-122.0,486.0,118.0,118.0,117.0,1.0,41515
10,Adcetris,brentuximab vedotin,Seattle Genetics,N,Y,N,Y,Y,Y,Y,Y,N,,01-Feb-13,,CADTH & INESSS,15-Mar-13,post-NOC,New drug,Systemic Anaplastic Large Cell Lymphoma (sALC),Completed,05-Dec-13,Cond'l on Cost,Conditional,02-Aug-13,post-NOC,New Drug,Systemic Anaplastic Large Cell Lymphoma (sALC),Completed,03-Feb-14,Ajout à la Liste Établissements - Médicament d'exception - Conditionnel à ce que le rapport entre le coût et l'efficacité soit modifié pour atteindre un niveau acceptable et à l'instauration d'un suivi,Conditional,1st,04-Sep-13,31-Jan-14,Negotiation,Completed with Agreements,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,Funded,EM,2014-06-01,2014-05-01,2014-02-04,2014-03-01,2014-02-19,2015-10-01,2015-01-01,,2018-06-25,2014-02-03,04-Feb-14,2014-02-03,6.0,5.0,2.0,4.0,3.0,8.0,7.0,,9.0,1.0,28.60%,34.30%,66.50%,72.10%,76.50%,96.80%,98.10%,99.00%,99.60%,,99.60%,19-Feb-14,01-Jun-14,42.0,182.0,265.0,185.0,-92.0,-152.0,149.0,121.0,90.0,4.0,29.0,19.0,608.0,335.0,,1606.0,3.0,352.0,4.0,313.0,3.0,121.0,485.0,454.0,368.0,393.0,383.0,972.0,699.0,,1970.0,367.0,716.0,677.0,368.0,326.0,61.0,178.0,147.0,61.0,86.0,76.0,665.0,392.0,,1663.0,0.0,409.0,307.0,367.0,57.0,-3.0,485.0,118.0,117.0,16.0,102.0,41613
